Методы расчёта цены — FSP Pricing
"Закрытый реестр значений price_rules.calculation_method. Уровень задаёт, с какого уровня соответствия метод обязателен к поддержке."
Код,Название,Требует amount,Требует ступени,Требует базовое правило,Уровень
flat,Фиксированная сумма за операцию независимо от количества,да,нет,нет,L1
per_unit,Ставка за единицу тарифицируемого количества,да,нет,нет,L1
per_metric,"Ставка за единицу метрики: килограмм, м³, сутки хранения",да,нет,нет,L1
manual_quote,Цена по договорённости; автоматический расчёт не выполняется и возвращает MANUAL_QUOTE_REQUIRED,нет,нет,нет,L1
minimum_charge,"Не ниже порога: max(результат базового правила, amount)",да,нет,да,L2
tiered,"Ставка меняется по шкале: диапазоны в price_tiers, шкала и область в tier_variable/tier_scope",нет,да,нет,L3
