Уровни соответствия — FSP Pricing 1.0
"Уровни кумулятивны: L2 включает L1, L3 включает L2. Оператор объявляет достигнутый уровень в манифесте (profile/), вызывающая сторона может требовать минимальный уровень в quote_request.pricing_level_min."
Уровень,Название,Включает,Сущности уровня,Условия,Ступени,Типичный источник
L1,Плоский прайс,,rate_cards; offers; offer_services; offer_materials; price_rules,нет,нет,"Прайс-лист, где у строки есть услуга, единица начисления и одна ставка"
L2,Условия и модификаторы,L1,price_rule_conditions; price_adjustments; price_adjustment_conditions,да,нет,"Ставка зависит от габаритов, схемы, маршрута или объёма; наценки за срочность и минимальный чек"
L3,Ступенчатые тарифы,L2,price_tiers,да,да,"Бесплатный период хранения, разная цена первой и последующих единиц, матрицы цены по количеству"
