Области диапазонов
"Закрытый реестр групп, внутри которых переменная диапазона считается заново. Расчёт выполняется по каждой группе отдельно, суммы групп складываются."
Код,Название,Ключ группировки,Комментарий
calculation,Строка расчёта,строка расчёта целиком,Шкала считается один раз на весь тарифицируемый объём
billing_period,Расчётный период,расчётный период по договору,Месячные объёмные шкалы
order,Заказ,order_id,Все товары одного заказа в одной группе
order_sku,Товар в заказе,order_id + sku,"Первая и последующие единицы одинакового товара в заказе"
supply,Поставка,supply_id,Все товары одной поставки в одной группе
supply_sku,Товар в поставке,supply_id + sku,"Первая и последующие единицы одинакового товара в поставке"
shipment,Отправление,shipment_id,Короба и паллеты одной отгрузки
batch,Партия на хранении,batch_id,"Возраст считается от приёмки партии; остаток при частичном списании определяется методом ротации"
sku_month,Товар за расчётный период,sku + расчётный период,Объёмная шкала по каждому товару отдельно
