Метрики услуг
Закрытый список допустимых billing_metric для каждой стандартной услуги.
Код услуги,Код метрики,Статус
label_layout_creation,skus,allowed
label_layout_creation,operations,allowed
label_layout_creation,hours,allowed
marking_code_verification,items,allowed
marking_code_verification,labels,allowed
marking_code_verification,serial_numbers,allowed
marking_code_verification,hours,allowed
return_dispatch,shipments,allowed
return_dispatch,orders,allowed
return_dispatch,items,allowed
return_dispatch,boxes,allowed
return_dispatch,pallets,allowed
return_dispatch,hours,allowed
document_handling,documents,allowed
document_handling,pages,allowed
document_handling,shipments,allowed
document_handling,hours,allowed
waste_removal,boxes,allowed
waste_removal,pallets,allowed
waste_removal,cargo_places,allowed
waste_removal,weight_kg,allowed
waste_removal,volume_m3,allowed
waste_removal,hours,allowed
manual_labor,hours,allowed
marketplace_promotion,skus,allowed
marketplace_promotion,weeks,allowed
marketplace_promotion,months,allowed
marketplace_promotion,hours,allowed
marketplace_promotion,turnover_rub,allowed
procurement_support,skus,allowed
procurement_support,supplies,allowed
procurement_support,shipments,allowed
procurement_support,purchase_value_rub,allowed
procurement_support,hours,allowed
inventory_transfer,items,allowed
inventory_transfer,skus,allowed
inventory_transfer,boxes,allowed
inventory_transfer,pallets,allowed
inventory_transfer,operations,allowed
inventory_transfer,hours,allowed
garment_measurement,items,allowed
garment_measurement,skus,allowed
garment_measurement,operations,allowed
garment_measurement,hours,allowed
